Code PVF1;Syntaxon
42.0.1.0.2.4;Polygono bistortae-Juncenion acutiflori de Foucault & Géhu ex de Foucault 2008
42.0.1.0.2.5;Juncenion acutiflori Delpech suball. prov. et stat. prov.
42.0.1.0.3;Molinion caeruleae Koch 1926
42.0.1.0.3.1;Allio angulosi-Molinienion caeruleae de Foucault & Géhu 1980
42.0.1.0.3.2;Carici davallianae-Molinienion caeruleae de Foucault & Géhu 1980
42.0.1.0.4;Deschampsio mediae-Molinion arundinaceae de Foucault 1984 ex Delpech all. prov.
42.0.2;Holoschoenetalia vulgaris Br.-Bl. ex Tchou 1948
42.0.2.0.1;Molinio arundinaceae-Holoschoenion vulgaris Br.-Bl. ex Tchou 1948
42.0.2.0.2;Deschampsion mediae Br.-Bl. in Br.-Bl., Roussine & Nègre 1952
43;Montio fontanae-Cardaminetea amarae Br.-Bl. & Tüxen ex Klika & Hada? 1944
43.0.1;Cardamino amarae-Chrysosplenietalia alternifolii Hinterlang 1992
43.0.1.0.1;Cochlearion pyrenaicae Bardat all. prov.
43.0.1.0.2;Pellion endiviifoliae Bardat all. prov.
43.0.1.0.3;Riccardio pinguis-Eucladion verticillati Bardat all. prov.
43.0.1.0.4;Caricion remotae Kästner 1941
43.0.1.0.4.1;Caricenion remotae Zechmeister & Mucina 1994
43.0.2;Montio fontanae-Cardaminetalia amarae Paw?owski in Paw?owski, Soko?owski & Wallisch 1928
43.0.2.0.1;Epilobio nutantis-Montion fontanae Zechmeister in Zechmeister & Mucina 1994
43.0.2.0.2;Cratoneurion commutati Koch 1928
43.0.2.0.3;Cardamino amarae-Montion fontanae Br.-Bl. 1926
43.0.2.0.3.1;Cardamino amarae-Montienion fontanae Zechmeister & Mucina 1994
43.0.2.0.4;Dermatocarpion rivulorum P. Geissler 1976
44;Mulgedio alpini-Aconitetea variegati Hada? & Klika in Klika & Hada? 1944
44.0.1;Calamagrostietalia villosae Paw?owski in Paw?owski, Soko?owski & Wallisch 1928
44.0.1.0.1;Calamagrostion arundinaceae (Luquet 1926) Jeník 1961
44.0.1.0.2;Calamagrostion villosae Paw?owski in Paw?owski, Soko?owski & Wallisch 1928
44.0.2;Adenostyletalia alliariae G. Braun-Blanquet 1931
