Code PVF1;Syntaxon
74.0.4;Junipero alpinae-Pinetalia mugo Bo?caiu 1971
74.0.4.0.1;Pinion mugo Paw?owski in Paw?owski, Soko?owski & Wallisch 1928
75;Violetea calaminariae Ernst 1965
75.0.1;Violetalia calaminariae Br.-Bl. & Tüxen ex Westhoff, Dijk & Passchier 1946
75.0.1.0.1;Violion calaminariae (Schwickerath 1933) Westhoff, Dijk & Passchier 1946
75.0.1.0.2;Armerion halleri Ernst 1965
76;Zosteretea marinae Pignatti 1954
76.0.1;Zosteretalia marinae Béguinot ex Pignatti 1954
76.0.1.0.1;Zosterion marinae Christiansen 1934
8;Asplenietea trichomanis (Br.-Bl. in Meier & Br.-Bl. 1934) Oberdorfer 1977
8.0.1;Asplenietalia glandulosi Br.-Bl. & Meier in Meier & Br.-Bl. 1934
8.0.1.0.1;Asplenion glandulosi Br.-Bl. & Meier in Meier & Br.-Bl. 1934
8.0.2;Cheilanthetalia maranto-maderensis Sáenz & Rivas-Martínez 1979
8.0.2.0.1;Phagnalo saxatilis-Cheilanthion maderensis Loisel 1970 corr. Sáenz & Rivas-Martínez 1979
8.0.3;Potentilletalia caulescentis Br.-Bl. in Br.-Bl. & H. Jenny 1926
8.0.3.0.1;Saxifragion lingulatae (Rioux & Quézel 1949) Loisel 1951
8.0.3.0.2;Arenarion bertolonii Gamisans 1991 nom. nud.
8.0.3.0.3;Potentillion caulescentis Br.-Bl. in Br.-Bl. & H. Jenny 1926
8.0.3.0.3.1;Kernero saxatilis-Potentillenion caulescentis Theurillat in Theurillat, Aeschimann, P. Küpfer & Spichiger 1995
8.0.3.0.3.2;Potentillenion caulescentis Theurillat in Theurillat, Aeschimann, P. Küpfer & Spichiger 1995
8.0.3.0.4;Violo biflorae-Cystopteridion alpinae F. Casas 1970
8.0.3.0.5;Saxifragion mediae Br.-Bl. in Meier & Br.-Bl. 1934
8.0.4;Androsacetalia vandellii Br.-Bl. in Meier & Br.-Bl. 1934 nom. corr.
8.0.4.1;Asplenienalia lanceolato-obovati Loisel 1970
8.0.4.1.1;Asplenion septentrionalis Oberdorfer 1938
8.0.4.1.2;Cheilanthion hispanicae Rivas Goday in Rivas Goday, Borja, Monasterio, Galiano & Rivas-Martínez 1956
8.0.4.1.3;Asplenio billotii-Dianthion godroniani Rameau 1996 nom. inval.
8.0.4.1.4;Asplenio billotii-Umbilicion rupestris de Foucault 1988
8.0.4.1.5;Antirrhinion asarinae (Br.-Bl. in Meier & Br.-Bl. 1934) Br.-Bl., Roussine & Nègre 1952
8.0.4.1.6;Asplenion serpentini Br.-Bl. & Tüxen ex Eggler 1955
8.0.4.2;Androsacenalia vandellii Loisel 1970
8.0.4.2.1;Potentillion crassinerviae Gamisans 1968
8.0.4.2.2;Saxifragion pedemontanae Barbero & Bono 1967
8.0.4.2.3;Dianthion gratianopolitani Focquet 1982
8.0.4.2.4;Androsacion vandellii Br.-Bl. in Br.-Bl. & H. Jenny 1926 nom. corr.
9;Asteretea tripolii Westhoff & Beeftink in Beeftink 1962
9.0.1;Glauco maritimae-Puccinellietalia maritimae Beeftink & Westhoff in Beeftink 1962
9.0.1.0.1;Puccinellion maritimae Christiansen 1927 nom. corr.
9.0.1.0.1.1;Puccinellienion maritimae Géhu in Géhu & Géhu-Franck 1984
9.0.1.0.1.2;Puccinellio maritimae-Spergularienion salinae (Beeftink 1965) Géhu & Géhu-Franck 1984
9.0.1.0.2;Armerion maritimae Br.-Bl. & de Leeuw 1936
9.0.1.0.2.1;Festucenion littoralis (Corillion 1953) Géhu 1976
9.0.1.0.2.2;Frankenio laevis-Armerienion maritimae Géhu & Géhu-Franck ex Géhu 1976
9.0.1.0.2.3;Limonio vulgaris-Plantaginenion maritimae Géhu & Géhu-Franck nom. nud.
9.0.1.0.3;Glauco maritimae-Juncion maritimi Géhu & Géhu-Franck ex Géhu 2004
9.0.2;Crithmo maritimi-Armerietalia maritimae Géhu 1975
9.0.2.0.1;Cochleario officinalis-Armerion maritimae Géhu in Géhu & Géhu-Franck 1984 nom. nud.
9.0.2.0.2;Crithmo maritimi-Armerion maritimae Géhu 1973 nom. nud.
9.0.2.0.3;Sileno maritimae-Festucion pruinosae Géhu 2004
