natura_2000_code;label;title_level_eu_code
9120;Hêtraies acidophiles atlantiques à sous-bois à Ilex et parfois à Taxus (Quercion robori-petraeae ou Ilici-Fagenion);Habitat d'intérêt communautaire
9130;Hêtraies de l'Asperulo-Fagetum;Habitat d'intérêt communautaire
9140;Hêtraies subalpines médio-européennes à Acer et Rumex arifolius;Habitat d'intérêt communautaire
9150;Hêtraies calcicoles médio-européennes du Cephalanthero-Fagion;Habitat d'intérêt communautaire
9160;Chênaies pédonculées ou chênaies-charmaies subatlantiques et médio-européennes du Carpinion betuli;Habitat d'intérêt communautaire
9170;Chênaies-charmaies du Galio-Carpinetum;Habitat d'intérêt communautaire
9180;Forêts de pentes, éboulis ou ravins du Tilio-Acerion;Habitat d'intérêt communautaire
9190;Vieilles chênaies acidophiles des plaines sablonneuses à Quercus robur;Habitat d'intérêt communautaire
91A0;Vieilles chênaies des îles Britanniques à Ilex et Blechnum;Habitat d'intérêt communautaire
91AA;Chênaies blanches orientales;Habitat d'intérêt communautaire
91B0;Frênaies thermophiles à Fraxinus angustifolia;Habitat d'intérêt communautaire
91BA;Forêts de sapins blancs moesiennes;Habitat d'intérêt communautaire
91C0;Forêts calédoniennes;Habitat d'intérêt communautaire
91CA;Forêts de pins sylvestres des massifs des Rhodopes et des Balkans;Habitat d'intérêt communautaire
91D0;Tourbières boisées;Habitat d'intérêt communautaire
9,10E+01;Forêts alluviales à Alnus glutinosa et Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae);Habitat d'intérêt communautaire
91F0;Forêts mixtes à Quercus robur, Ulmus laevis, Ulmus minor, Fraxinus excelsior ou Fraxinus angustifolia, riveraines des grands fleuves (Ulmenion minoris);Habitat d'intérêt communautaire
91G0;Bois pannoniques à Quercus petraea et Carpinus betulus;Habitat d'intérêt communautaire
91H0;Bois pannoniques à Quercus pubescens;Habitat d'intérêt communautaire
91I0;Bois eurosibériens steppiques à Quercus spp.;Habitat d'intérêt communautaire
91J0;Bois des îles Britanniques à Taxus baccata;Habitat d'intérêt communautaire
91K0;Forêts illyriennes à Fagus sylvatica (Aremonio-Fagion);Habitat d'intérêt communautaire
91L0;Chênaies-charmaies illyriennes (Erythronio-Carpinion);Habitat d'intérêt communautaire
91M0;Forêts de chênes chevelus et chênaies pannoniennes balkaniques;Habitat d'intérêt communautaire
91N0;Fourrés pannoniques des dunes sableuses intérieures (Junipero-Populetum albae);Habitat d'intérêt communautaire
91P0;Sapinière de la Sainte-Croix (Abietetum polonicum);Habitat d'intérêt communautaire
91Q0;Forêts calcicoles à Pinus sylvestris des Carpathes occidentales;Habitat d'intérêt communautaire
91R0;Forêts de pins sylvestres des Dolomites dinariques (Genisto januensis-Pinetum);Habitat d'intérêt communautaire
91S0;Hêtraies pontiques occidentales;Habitat d'intérêt communautaire
91T0;Forêts de pins sylvestres à lichens en Europe centrale;Habitat d'intérêt communautaire
91U0;Pinède de la steppe sarmatique;Habitat d'intérêt communautaire
91V0;Hêtraies daciennes (Symphyto-Fagion);Habitat d'intérêt communautaire
91W0;Hêtraies moesiennes;Habitat d'intérêt communautaire
91X0;Hêtraies de la Dobrogea;Habitat d'intérêt communautaire
91Y0;Chênaies-charmaies daciennes;Habitat d'intérêt communautaire
91Z0;Bois de tilleuls argentés moesiens;Habitat d'intérêt communautaire
9200;Forêts méditerranéennes à feuilles caduques;Grand type de milieu 2
9210;Hêtraies des Apennins à Taxus et à Ilex;Habitat d'intérêt communautaire
9220;Hêtraies des Apennins à Abies alba et hêtraies à Abies nebrodensis;Habitat d'intérêt communautaire
9230;Chênaies galicio-portugaises à Quercus robur et Quercus pyrenaica;Habitat d'intérêt communautaire
9240;Chênaies ibériques à Quercus faginea et Quercus canariensis;Habitat d'intérêt communautaire
9250;Chênaies à Quercus trojana;Habitat d'intérêt communautaire
9260;Forêts de Castanea sativa;Habitat d'intérêt communautaire
9270;Hêtraies helléniques à Abies borisii-regis;Habitat d'intérêt communautaire
9280;Hêtraies à Quercus frainetto;Habitat d'intérêt communautaire
9290;Forêts à Cupressus (Acero-Cupression);Habitat d'intérêt communautaire
92A0;Forêts-galeries à Salix alba et Populus alba;Habitat d'intérêt communautaire
92B0;Forêts-galeries de rivières intermittentes méditerranéennes à Rhododendron ponticum, Salix et autres;Habitat d'intérêt communautaire
92C0;Forêts à Platanus orientalis et Liquidambar orientalis (Platanion orientalis);Habitat d'intérêt communautaire
92D0;Galeries et fourrés riverains méridionaux (Nerio-Tamaricetea et Securinegion tinctoriae);Habitat d'intérêt communautaire
9300;Forêts sclérophylles méditerranéennes;Grand type de milieu 2
9310;Chênaies égéennes à Quercus brachyphylla;Habitat d'intérêt communautaire
9320;Forêts à Olea et Ceratonia;Habitat d'intérêt communautaire
9330;Forêts à Quercus suber;Habitat d'intérêt communautaire
9340;Forêts à Quercus ilex et Quercus rotundifolia;Habitat d'intérêt communautaire
9350;Forêts à Quercus macrolepis;Habitat d'intérêt communautaire
9360;Laurisylves macaronésiennes (Laurus, Ocotea);Habitat d'intérêt communautaire
9370;Palmeraies à Phoenix;Habitat d'intérêt communautaire
9380;Forêts à Ilex aquifolium;Habitat d'intérêt communautaire
9390;Fourrés et végétation forestière basse à Quercus alnifolia;Habitat d'intérêt communautaire
93A0;Terres forestières à Quercus infectoria (Anagyro foetidae-Quercetum infectoriae);Habitat d'intérêt communautaire
9400;Forêts de conifères des montagnes tempérées;Grand type de milieu 2
9410;Forêts acidophiles à Picea des étages montagnard à alpin (Vaccinio-Piceetea);Habitat d'intérêt communautaire
9420;Forêts alpines à Larix decidua et/ou Pinus cembra;Habitat d'intérêt communautaire
9430;Forêts montagnardes et subalpines à Pinus uncinata (* si sur substrat gypseux ou calcaire);Habitat d'intérêt communautaire
9500;Forêts de conifères des montagnes méditerranéennes et macaronésiennes;Grand type de milieu 2
9510;Forêts sud-apennines à Abies alba;Habitat d'intérêt communautaire
9520;Forêts à Abies pinsapo;Habitat d'intérêt communautaire
9530;Pinèdes (sub)méditerranéennes de pins noirs endémiques;Habitat d'intérêt communautaire
9540;Pinèdes méditerranéennes de pins mésogéens endémiques;Habitat d'intérêt communautaire
9550;Pinèdes endémiques canariennes;Habitat d'intérêt communautaire
9560;Forêts endémiques à Juniperus spp.;Habitat d'intérêt communautaire
9570;Forêts à Tetraclinis articulata;Habitat d'intérêt communautaire
9580;Bois méditerranéens à Taxus baccata;Habitat d'intérêt communautaire
9590;Forêts à Cedrus brevifolia (Cedrosetum brevifoliae);Habitat d'intérêt communautaire
95A0;Pinèdes oro-méditerranéennes d'altitude;Habitat d'intérêt communautaire
