Code CATMINAT;Syntaxon
02/2.0.1.0.1/12;Bupleuro tenuissimi - Plantaginetum coronopodis Fröde 1958 ex Voderberg 1965
02/2.0.1.0.1/12;Plantagini coronopodis - Bupleuretum tenuissimi Fröde 1958
02/2.0.1.0.1/12;Carici distantis - Plantaginetum coronopodis Tüxen 1937 prov. 
02/2.0.1.0.1/13;Catapodio marini - Evacetum rotundatae Géhu, Géhu-Franck & Biondi 1989
02/2.0.1.0.1/14;Sagino maritimae - Stellarietum marinae Bioret 2006
02/2.0.1.0.1/15;grpt à Myosurus minimus - Bupleurum tenuissimum Duvigneaud 1967
02/2.0.1.0.2;Sileno sedoidis - Catapodion marini de Foucault & Bioret 2010 
02/2.0.1.0.2/01;grpt à Catapodium marinum & Silene sedoides Géhu, Biondi & Bournique 1992
02/2.0.2;Frankenietalia pulverulentae Rivas-Martínez 1975 apud Rivas-Martínez & Costa 1976
02/2.0.2;Frankenietea pulverulentae Rivas-Martínez 1975 ex Castroviejo & Porta 1976
02/2.0.2;Frankenietea pulverulentae Rivas-Martínez 1975 in Rivas-Martínez & Costa 1976
02/2.0.2.0.1;Frankenion pulverulentae Rivas-Martínez 1975 apud Rivas-Martínez & Costa 1976
02/2.0.2.0.1;Frankenion pulverulentae Rivas-Martínez 1975 ex Castroviejo & Porta 1976
02/2.0.2.0.1;Hordeion marini Ladero, Navarro, Valle, Marcos, Ruiz & Santos 1984
02/2.0.2.0.1/01;Parapholido incurvae - Frankenietum pulverulentae Rivas-Martínez 1975 ex Castroviejo & Porta 1976
02/2.0.2.0.1/03;Catapodio marini - Limonietum echioidis (Tallon 1930) Braun-Blanquet 1931
02/2.0.2.0.1/03;Sagino maritimae - Limonietum echioidis Géhu, Biondi, Géhu-Franck & Costa 1992
02/2.0.2.0.1/04;Catapodio marini - Silenetum sedoidis Géhu, Biondi, Géhu-Franck & Costa 1992
02/2.0.2.0.1/05;Sperguletum heldreichii René Molinier & Tallon 1969
02/2.0.2.0.1/05;Spergularietum heldreichii René Molinier & Tallon 1970
02/2.0.2.0.1/06;Sperguletum marinae René Molinier & Tallon 1968
02/2.0.2.0.1/06;Spergularietum marinae René Molinier & Tallon 1970
02/2.0.2.0.1/07;Parapholido incurvae - Catapodietum marini Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990
02/2.0.2.0.1/08;Plantagini coronopodi - Hordeetum marini O. de Bolòs & Molinier ex O. de Bolòs 1962
02/2.0.2.0.1/09;Parapholido strigosae - Hordeetum marini (Géhu, Caron & Bon 1976) Géhu & de Foucault 1978
02/2.0.2.0.1/10;Sagino maritimae - Sperguletum marinae écoph. annuel Bioret 2006
