NAME_RELEVE;SP_NAME;STRATUM;COVER;CD_NOM
T0001_13;Lotus corniculatus L.;;+;106653
T0001_13;Potentilla tormentilla;;+;115680
T0001_13;Luzula campestris (L.) Dc.;;+;106818
T0001_13;Prunella vulgaris L.;;3;116012
T0001_13;Taraxacum officinale Weber;;+;125677
T0001_13;Cerastium arvense L.;;+;89968
T0001_13;Trifolium pratense L.;;+;127439
T0001_13;Cynosurus cristatus L.;;3;93860
T0001_13;Danthonia decumbens (L.) Dc.;;+;94402
T0001_13;Daucus carota L.;;+;94503
T0001_13;Thymus serpyllum L.;;+;126573
T0001_13;Hieracium pilosella L.;;+;102352
T0001_13;Festuca tenuifolia Sibth.;;1;98574
T0001_13;Achillea millefolium L.;;+;79908
T0001_13;Anthoxanthum odoratum L.;;1;82922
T0001_13;Hieracium auricula;;+;101672
T0001_13;Carex flacca Schreber;;1;88510
T0001_13;Bromus erectus Hudson;;+;86601
T0001_13;Alchemilla xanthochlora Rothm.;;+;81195
T0001_13;Centaurea jacea L.;;+;89619
T0001_13;Trifolium repens L.;;3;127454
T0001_13;Agrostis capillaris L.;;1;80591
T0001_13;Plantago lanceolata L.;;+;113893
T0001_13;Plantago media L.;;1;113906
T0001_13;Polygala amara L.;;+;114525
T0001_13;Ononis spinosa L.;;+;110236
T0001_13;Nardus stricta L.;;2;109366
T0001_13;Pimpinella saxifraga L.;;+;113596
T0001_14;Hieracium auricula;;+;101672
T0001_14;Plantago media L.;;2;113906
T0001_14;Hieracium pilosella L.;;+;102352
T0001_14;Achillea millefolium L.;;+;79908
T0001_14;Hypochoeris radicata L.;;2;446973
T0001_14;Koeleria cristata;;+;193739
T0001_14;Vicia cracca L.;;+;129147
T0001_14;Agrostis capillaris L.;;3;80591
T0001_14;Leontodon autumnalis L.;;+;105480
T0001_14;Alchemilla xanthochlora Rothm.;;+;81195
T0001_14;Leontodon hispidus L.;;+;105502
T0001_14;Brachypodium pinnatum (L.) Beauv.;;+;86289
T0001_14;Prunella vulgaris L.;;3;116012
T0001_14;Ranunculus acer;;+;116903
T0001_14;Trifolium pratense L.;;+;127439
T0001_14;Plantago lanceolata L.;;+;113893
T0001_14;Briza media L.;;1;86490
T0001_14;Bromus erectus Hudson;;+;86601
T0001_14;Campanula rotundifolia L.;;+;87720
T0001_14;Carex flacca Schreber;;1;88510
T0001_14;Trifolium repens L.;;+;127454
T0001_14;Taraxacum officinale Weber;;1;125677
T0001_14;Cerastium fontanum Baumg.;;+;90008
T0001_14;Polygala amara L.;;+;114525
T0001_14;Cynosurus cristatus L.;;3;93860
T0001_14;Danthonia decumbens (L.) Dc.;;1;94402
T0001_14;Pimpinella saxifraga L.;;+;113596
T0001_14;Thymus serpyllum L.;;1;126573
T0001_14;Festuca tenuifolia Sibth.;;+;98574
T0001_14;Anthoxanthum odoratum L.;;+;82922
T0001_14;Leucanthemum vulgare Lam.;;2;105817
T0001_14;Centaurea jacea L.;;+;89619
T0001_14;Luzula campestris (L.) Dc.;;+;106818
T0001_14;Nardus stricta L.;;+;109366
T0001_14;Potentilla tormentilla;;+;115680
T0001_14;Lotus corniculatus L.;;3;106653
T0001_14;Linum catharticum L.;;+;106288
T0001_2;Bromus erectus Hudson;;3;86601
T0001_2;Anthyllis vulneraria L.;;+;82999
T0001_2;Taraxacum officinale Weber;;+;125677
T0001_2;Festuca duriuscula;;3;98205
T0001_2;Pimpinella saxifraga L.;;1;113596
T0001_2;Gentiana lutea L.;;+;99903
T0001_2;Plantago media L.;;+;113906
T0001_2;Campanula rotundifolia L.;;+;87720
T0001_2;Hieracium pilosella L.;;+;102352
T0001_2;Trifolium pratense L.;;+;127439
T0001_2;Scabiosa columbaria L.;;+;121334
T0001_2;Hypericum perforatum L.;;+;103316
T0001_2;Lotus corniculatus L.;;1;106653
T0001_2;Knautia silvatica;;+;104556
T0001_2;Agrostis capillaris L.;;2;80591
T0001_2;Koeleria cristata;;1;193739
T0001_2;Stachys officinalis (L.) Trevisan;;+;124797
T0001_2;Plantago lanceolata L.;;1;113893
T0001_2;Carlina vulgaris L.;;+;89180
T0001_2;Centaurea jacea L.;;+;89619
T0001_2;Brachypodium pinnatum (L.) Beauv.;;+;86289
T0001_2;Primula officinalis;;+;115900
T0001_2;Carex flacca Schreber;;1;88510
T0001_2;Crataegus monogyna Jacq.;;+;92876
T0001_2;Asperula cynanchica L.;;+;84306
T0001_2;Cynosurus cristatus L.;;+;93860
T0001_2;Linum catharticum L.;;+;106288
T0001_2;Dactylis glomerata L.;;+;94207
T0001_2;Danthonia decumbens (L.) Dc.;;1;94402
T0001_2;Daucus carota L.;;+;94503
T0001_2;Prunella vulgaris L.;;+;116012
T0001_2;Euphorbia cyparissias L.;;+;97490
T0001_2;Ononis spinosa L.;;1;110236
T0001_2;Trifolium repens L.;;+;127454
T0001_2;Anthoxanthum odoratum L.;;+;82922
T0001_2;Achillea millefolium L.;;+;79908
T0001_2;Leontodon hispidus L.;;+;105502
T0001_2;Briza media L.;;2;86490
T0001_2;Thymus serpyllum L.;;+;126573
T0001_2;Leucanthemum vulgare Lam.;;1;105817
T0001_2;Leontodon autumnalis L.;;+;105480
T0001_3;Gentiana lutea L.;;+;99903
T0001_3;Senecio jacobaea L.;;+;122636
T0001_3;Lotus corniculatus L.;;+;106653
T0001_3;Prunella vulgaris L.;;+;116012
T0001_3;Bromus erectus Hudson;;3;86601
T0001_3;Campanula rotundifolia L.;;+;87720
T0001_3;Festuca duriuscula;;+;98205
T0001_3;Dactylis glomerata L.;;+;94207
